유형,이름,지원대상,지원내용,신청절차,필요서류,문의처,링크
기관,학교 Wee클래스,학교생활 적응에 어려움을 겪는 재학생,교내 전문상담교사 1:1 개인상담 및 심리검사,담임교사 연계 또는 학생 직접 방문,상담동의서,교내 Wee클래스,https://www.wee.go.kr
기관,교육지원청 Wee센터,단위 학교에서 해결하기 어려운 심리적 위기 학생,"임상심리사 심층 평가 및 장기 상담, 병원 연계",Wee클래스 의뢰 및 학교장 공문 발송,"의뢰서, 학부모 동의서",관할 교육지원청,https://www.wee.go.kr
기관,시도교육청 Wee스쿨,장기 결석 및 학교폭력 등으로 학업 중단 위기에 있는 학생,기숙형 대안교육 및 집중 심리치료 프로그램,Wee센터 의뢰 및 심사위원회 심의,"학교장 추천서, 학교생활기록부",관할 교육청,https://www.wee.go.kr
기관,청소년상담복지센터 (1388),만 9세~24세 위기 청소년,"가출, 비행, 학업중단 청소년 상담 및 긴급 구조",1388 전화 접수 또는 홈페이지 예약,없음,국번없이 1388,https://www.cyber1388.kr
기관,지역 학생정신건강복지센터,"자해, 우울증 등 고위험군 위기학생",정신의학과 전문의 연계 진료 및 치료비 지원,학교 보건/상담교사 의뢰 또는 보호자 직접 신청,"상담일지, 의사소견서",1577-0199,https://mentalhealth.go.kr
기관,스마트쉼센터,스마트폰/인터넷 과의존 학생,"과의존 예방 교육, 방문 상담 및 예술치료",홈페이지 척도검사 후 상담 예약,온라인 자가진단 결과지,1599-0075,https://www.iapc.or.kr
기관,한국도박문제예방치유원,"온라인 도박, 불법 스포츠 토토 노출 학생",청소년 도박 문제 치유 상담 및 단도박 모임 연계,온라인 헬프라인 챗봇 또는 전화 접수,없음(익명 진행 가능),1336,https://www.kcgp.or.kr
기관,해바라기센터,"성폭력, 가정폭력, 아동학대 피해 학생","의료, 상담, 법률, 수사 지원 원스톱 제공",경찰(112) 연계 또는 직통 전화 접수,신분확인 서류(현장 작성),1366,https://www.mogef.go.kr
기관,청소년폭력예방재단 (푸른나무재단),학교폭력 및 사이버폭력 피해 학생,"화해 분쟁 조정, 심리 상담, 장학금 지원",전국 학교폭력 상담전화 접수,학교폭력 대책심의위원회 결과통보서(필요시),1588-9128,https://btf.or.kr
제도,우리아이 심리지원 바우처,"주의결핍, 발달장애 등 심리행동 문제 아동",언어/미술/음악/놀이치료 비용 월 16만원 상당 지원,주소지 읍면동 행정복지센터 신청,의사 진단서 또는 임상심리사 소견서,보건복지상담센터 129,https://www.socialservice.or.kr
제도,학교 기초학력 디딤돌 교실,기초학력 진단평가 미달 학생,방과후 소그룹(3~5인) 국영수 기초 보충학습,학기 초 가정통신문 회신을 통한 신청,참가동의서,교내 기초학력 담당 교사,https://www.kice.re.kr
기관,학습종합클리닉센터,"정서적, 인지적 요인으로 학습에 심각한 어려움이 있는 학생",학습심리 상담사 학교 방문 1:1 코칭,학교에서 교육지원청으로 공문 신청,학습부진 원인 진단검사 결과지,관할 교육지원청,https://www.moe.go.kr
제도,방과후학교 자유수강권,"저소득층(기초, 차상위) 초중고 학생",교내 방과후학교 프로그램 수강료 연 60만원 한도 지원,교육비 원클릭 신청 시스템 온라인 접수,"가족관계증명서, 소득증빙서류",학교 행정실,https://oneclick.moe.go.kr
기관,꿈드림 (학교밖청소년지원센터),학업 중단 청소년 및 미인가 대안학교 재학생,"검정고시 준비, 직업 체험, 자격증 취득 지원",센터 방문 또는 홈페이지 신청,정원외관리증명서 또는 제적증명서,1388,https://www.kdream.or.kr
기관,진로진학지원센터,진로 미결정 및 진학 정보가 필요한 중고생,"진로적성검사, 1:1 맞춤형 진학 컨설팅",시도교육청 진로진학센터 홈페이지 예약,"학교생활기록부, 모의고사 성적표",시도교육청 진로과,https://www.career.go.kr
제도,대학생 튜터링 (다문화/탈북학생),다문화 및 탈북가정 초중고 학생,대학생 멘토와 주 2회 교과 학습 및 문화 체험 멘토링,학교 다문화 담당 교사 신청,멘토링 신청서,한국장학재단,https://www.kosaf.go.kr
기관,특수교육지원센터,"시청각장애, 지적장애, 자폐성장애 특수교육대상자","특수교육 대상자 진단 평가 및 순회 교육, 보조공학기기 대여",보호자가 유치원/학교 거쳐 교육장에게 신청,"특수교육대상자 진단평가 의뢰서, 장애인등록증(선택)",교육지원청 특수교육과,https://www.nise.go.kr
기관,대안교육 위탁교육기관,학교생활 부적응으로 학업 중단 위기에 있는 중고생,"일반 교과 축소 및 예체능, 진로, 인성 위주의 대안 교과 운영",소속 학교 담임/상담교사 면담 후 위탁 신청,"위탁교육 신청서, 학교장 추천서",시도교육청 대안교육팀,https://www.moe.go.kr
제도,느린학습자(경계선지능) 맞춤형 지원,지능지수(IQ) 71~84 구간의 경계선 지능 학생,인지학습 전문강사 매칭 및 교구 지원,위촉된 심리검사 기관 평가 후 학교에서 교육청 신청,종합심리검사(Full Battery) 결과보고서,관할 교육지원청,https://www.moe.go.kr
제도,직업계고 글로벌 현장학습,특성화고 및 마이스터고 3학년 재학생,해외 우수 기업 현장실습 및 어학연수 기회 제공,교내 취업지원부 추천 및 심사,"자기소개서, 외국어 성적표, 학과장 추천서",교내 취업지원부,https://www.hifive.go.kr
제도,초등 늘봄학교,초등학교 1학년 (단계적 확대 중),정규수업 전후(오전 7시~오후 8시) 양질의 교육 및 돌봄 제공,신학기 초 늘봄학교 수요조사서 제출,신청서 및 동의서,학교 늘봄지원실,https://www.neulbom.go.kr
기관,지역아동센터,방과 후 돌봄이 필요한 취약계층 아동(초~중),"급식 제공, 교과 학습 지도, 문화 체험 활동",주소지 동주민센터 방문 신청 후 시군구 승인,"돌봄서비스 결정통지서, 취약계층 증빙서류",아동권리보장원,https://www.icareinfo.go.kr
기관,다함께돌봄센터,"소득 수준 무관, 방과 후 돌봄이 필요한 초등학생","상시/일시 돌봄, 숙제 지도, 신체 활동",정부24 온라인 신청 또는 센터 방문,맞벌이 증빙서류(재직증명서 등),관할 지자체 아동복지과,https://www.gov.kr
제도,청소년 방과후아카데미,초등학교 4학년 ~ 중학교 3학년 청소년,"청소년수련관에서 교과 학습, 전문 체험, 급식, 귀가 차량 지원",지역 청소년수련관 직접 신청,참가신청서,지역 청소년수련관,https://www.youth.go.kr/yaca
기관,청소년 쉼터 (단기/중장기),"가정불화, 폭력 등으로 가출한 위기 청소년","무료 숙식 제공, 의료 지원, 학업 복귀 및 자립 훈련",1388 전화 연계 또는 본인 직접 내방,없음(사후 본인 확인),1388,https://www.mogef.go.kr
기관,아동보호전문기관,학대 피해 의심 또는 학대 피해를 입은 아동,"학대 조사, 피해 아동 긴급 분리(쉼터 연계), 가족 심리 치료",112 경찰 신고 접수 후 기관 연계,없음,112 (아동학대 신고),https://www.korea1391.go.kr
제도,아이돌봄 서비스 (시간제),만 12세 이하 아동을 둔 양육 공백 가정(맞벌이 등),아이돌보미가 가정에 방문하여 임시보육 및 등하원 지원,아이돌봄 홈페이지 회원가입 및 정부지원 신청,취업증빙서류(부부 모두),1577-2514,https://www.idolbom.go.kr
제도,아동안전지킴이집,위험에 처하거나 길을 잃은 아동/학생,"학교 주변 편의점, 약국 등에서 아동 임시 보호 및 경찰 인계",지킴이집 마크가 있는 상가로 긴급 대피,없음,인근 지구대,https://www.police.go.kr
제도,결석학생 긴급 방문/안전 확인,무단 결석 3일 이상 지속되는 초/중학생,"교사, 사회복지사, 경찰 합동 가정 방문을 통한 학생 안전 확인",담임교사 내부 기안 후 관할 경찰서 협조 요청,"출결기록, 연락시도 일지",학교 교무실 및 112,https://www.moe.go.kr
기관,가족센터 (구 건강가정지원센터),"이혼, 사별, 갈등 등으로 위기에 처한 아동 포함 가족","가족 상담, 부모 교육, 취약위기가족 돌봄 지원",지역 가족센터 방문 또는 전화 예약,주민등록등본,1577-9337,https://www.familynet.or.kr
제도,초중고 교육비 지원 사업,"기초수급자, 차상위계층, 한부모가족 등 저소득 가정 학생","급식비(석식 등), 방과후학교 자유수강권, 인터넷 통신비 지원",복지로 온라인 신청 또는 동주민센터 방문,"신분증, 소득/재산 신고서",1544-9654 (교육비 중앙상담센터),https://oneclick.moe.go.kr
제도,교육급여 (맞춤형 급여),소득인정액 기준 중위소득 50% 이하 가구의 학생,교육활동지원비(바우처 포인트) 연 1회 지급(급별 41만~73만원),복지로 홈페이지 또는 행정복지센터 신청,"금융정보 제공 동의서, 통장사본",129 (보건복지부 콜센터),https://www.bokjiro.go.kr
제도,아동급식 지원 (꿈나무카드),결식 우려가 있는 만 18세 미만 취학 및 미취학 아동,방학 중 또는 학기 중 토/일/공휴일 중식 지원 (식품권 카드),동주민센터 아동복지 담당자 상담 후 신청,"건강보험료 납부확인서, 담임교사 추천서(예외인정 시)",관할 행정복지센터,https://www.bokjiro.go.kr
제도,신입생 교복/체육복 지원,중/고등학교 신입생 전체 (지자체별 상이),교복(동/하복) 및 체육복 구입비 또는 현물 지원 (약 30만원 상당),학교 배정 후 중/고등학교 주관 구매 신청서 제출,교복 주관구매 신청서,진학 예정 학교 행정실,https://www.moe.go.kr
제도,저소득층 여성청소년 생리용품 지원,"만 9세~24세 저소득층(기초, 차상위, 한부모) 여성 청소년","생리용품 구매 바우처(국민행복카드) 연 최대 156,000원 지원",복지로 앱 신청 또는 행정복지센터 방문,신청인 신분증,관할 지자체 여성가족과,https://www.bokjiro.go.kr
제도,긴급복지 생계지원,"주소득자의 실직, 질병 등으로 생계가 곤란해진 위기가구 학생","생계비, 의료비, 주거비 등을 단기(최대 6개월) 긴급 현금 지원",보건복지콜센터(129) 상담 또는 구청 희망복지지원단 신청,"위기상황 증빙서류(진단서, 실직증명서 등)",129,https://www.bokjiro.go.kr
제도,교육정보화 지원 (PC 및 인터넷),기초생활수급자 등 저소득층 학생,가정 내 PC 1대 보급 및 월 인터넷 통신비 전액 지원,교육비 원클릭 신청 시 통합 신청,교육비 지원 신청서,관할 시도교육청 정보화지원과,https://oneclick.moe.go.kr
제도,주거환경 개선 사업 (초록우산 등 NGO 연계),"해충, 곰팡이 등 열악한 환경에 거주하는 아동","도배, 장판 교체, 방역, 공부방 가구 지원",학교 사회복지사 또는 지자체 사례관리사를 통한 재단 의뢰,"주거환경 사진, 학교장 추천서",초록우산 어린이재단 1588-1940,https://www.childfund.or.kr
제도,학교 우유급식 무상지원,"국민기초생활수급자, 차상위계층, 한부모가족, 특수교육대상 학생",학기 중 및 방학 중 백색우유 무상 제공,학년 초 학교 안내에 따라 증빙서류 제출,수급자 확인서,학교 급식실,https://www.moe.go.kr
제도,의료급여 (본인부담금 면제/경감),국민기초생활보장 의료급여 수급권자 학생,"병의원 진료비, 약제비 본인부담금 전액 면제 또는 대폭 경감",행정복지센터 기초수급자 신청 시 자동 결정,없음(시스템 연동),국민건강보험공단 1577-1000,https://www.nhis.or.kr
기관,교육복지우선지원사업 (학교),취약계층 학생 밀집도가 높은 지정 학교의 학생,"학교 내 교육복지사가 상주하며 학습, 문화, 복지 프로그램 통합 제공",교내 교육복지실 개별 상담,없음,교내 교육복지실,https://www.moe.go.kr
기관,학생맞춤통합지원팀 (교내 조직),복합적 위기(경제+심리+학업)를 겪는 요보호 학생,"교장, 교감, 담임, 상담교사, 복지사가 팀을 이뤄 학생 맞춤형 통합 솔루션 회의 진행",담임교사의 1차 스크리닝 후 통합지원팀 의뢰,학생 관찰 일지,교내 교무기획부,https://www.moe.go.kr
기관,다문화 예비학교 / 한국어학급,중도입국 및 외국인 가정 자녀 중 한국어 능력이 부족한 학생,정규 학급 배치 전 집중 한국어 교육 및 한국 문화 적응 프로그램,교육지원청 다문화교육지원센터 배정 신청,"외국인등록증, 출입국사실증명서",관할 교육지원청 다문화팀,https://www.edu4mc.or.kr
제도,시력보호 안경 지원 사업,시력 저하가 있으나 경제적 이유로 안경을 못 맞추는 취약계층 학생,지역 안경사회와 연계하여 시력검사 및 안경(약 5~10만원 상당) 무상 제작,보건교사 시력 측정 후 신청서 작성 및 교육청 제출,보건교사 추천서,관할 보건소 및 교육청,https://www.moe.go.kr
제도,자립준비청년 (보호종료아동) 지원,"아동복지시설, 위탁가정 등에서 보호 종료를 앞둔 고등학생","자립정착금, 자립수당(월 40만원), 대학 장학금 및 주거 지원 컨설팅",보호 종료 전 시설장 또는 위탁부모를 통해 신청,보호종료 확인서,자립지원전담기관,https://jarip.or.kr
기관,청소년 노동인권 센터,"아르바이트 중 임금 체불, 부당 해고 등을 당한 학생","무료 노무 상담, 고용노동부 진정 대행, 권리 구제",카카오톡 채널 또는 전화 상담,"근로계약서, 급여이체내역서",1588-1588,https://youthlabor.kr
제도,소년소녀가정 및 위탁가정 지원,"부모의 사망, 가출 등으로 실질적으로 가정을 이끄는 학생","생계비 가산 지급, 전세자금 대출 우대, 명절 위문금",거주지 동주민센터 아동복지 담당자 신고,"가족관계증명서, 사실조사서",행정복지센터,https://www.bokjiro.go.kr
기관,동주민센터 (행정복지센터) 맞춤형 복지팀,학교 외 지역사회 자원 연계가 시급한 복합 위기 학생 가정,"통합사례관리, 후원 물품 연계, 주거 환경 개선 및 공적 급여 신청 대행",학교 교육복지사 또는 담임교사가 공문으로 사례 연계 의뢰,사례관리 의뢰서,거주지 동주민센터,https://www.gov.kr
기관,시군구청 희망복지지원단,동주민센터에서 감당하기 어려운 고난도 복합 위기 학생 가구,"민관 협력(경찰, 병원, NGO 등) 솔루션 회의 개최 및 대규모 자원 동원",동주민센터에서 구청으로 이관 의뢰,통합사례관리 기록지,시군구청 복지정책과,https://www.mohw.go.kr
제도,학교 안전사고 공제 보상,"체육시간, 급식시간, 쉬는시간 등 교육활동 중 사고로 다친 학생","병원 치료비(요양급여), 보장구 구입비 등 공제금 지급",사고 발생 시 학교보건교사에게 알리고 학부모가 직접 온라인 청구,"진단서, 진료비 영수증, 사고경위서",학교안전공제회,https://www.ssif.or.kr
